,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
111732,Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.6820175438596489,0.8343685300207041,2.345703125,2.38305709023941,2.60515873015873,1.52482269503546,1.6494845360824701,1.32507288629738,1.17848101265823,1.2467222884386202,1.1722391084093202,1.1771653543307101,1.13985374771481,1.23518687329079,1.15190839694656,2.81118373275236,3.12382864792503,3.0432666306111402,3.28314606741573,2.69861386138614,2.7466911764705895,2.84268969771746,3.0033036339973997,2.93218341631388,3.01716743691831,1.83652541094857,2.62189349112426,2.25258646172037,2.31081264414598,2.7407740774077403,2.70489296636086,2.16686926732236,2.04965156794425,1.86252988480765,1.4228847293978102,1.3830426939266398,1.2870884703969698,1.41705504471596,1.2763626403725,1.3855313863292802,1.3921627531069198,1.2997898961843402,1.3244099720017,1.2072833480922,1.35796836661608,1.3513944864492802,1.2490866758738002,1.5922675815639198,1.3979037713492302,1.52145472580919,1.37751626168897,1.2947595034466202,1.3230237354878798,1.39204852987626,1.4392436907825699,1.3269328084189098,1.2333659399535601,1.42725841123202,2.05918567597085,,
113173,Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.94379391100703,0.43478260869565205,0.445620493940788,1.3523370050610302,1.3822879248411202,1.3326068841740901,1.4142233312538999,1.75449137775641,,1.03240865427776,1.4586709886547802,1.94621227673989,2.2250827510113997,2.0568070519098898,2.2236011997104104,2.5333817419016498,2.79637365243246,2.64371530123667,2.9188033688833905,3.0303302426868397,3.50702489000361,3.1048089258640097,2.97540078538161,2.7511726460412995,2.8054131580068398,2.64913991225016,3.1452451490121502,3.3495221333571,3.4487124725408798,3.7862708647432797,3.59563794790509,3.7202758201085,3.92111119751454,4.20907289936566,5.85688491874941,6.359652961322809,6.572272506909631,6.25764365683521,4.86240221311558,6.071737158027741,5.44167885941746,5.533435389498349,4.90326684339249,4.43619004108442,3.51171845179021,3.4145952477830694,2.7208905265394105,,,,2.5271777075949,2.36763819325911,2.1190903709970303,2.2018627336494396,2.11562520759206,1.87065219636162,1.8821614708513899,,
114614,Cabo Verde,CPV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.7923989651173198,2.4634443863568,2.3355314806092005,2.10367617411426,1.91388560611607,,,,0.9925924710630579,0.756580531119533,0.838878589489836,1.2650808511315401,0.8441753102704,0.831007455137562,0.858540442487481,0.8385432011629529,1.15402591313906,0.7536151972313649,0.665480290001653,0.6487535587648039,0.63097843761799,0.6494972333401221,0.564741208222978,0.5247031693522151,0.601269381910568,0.490877611477521,0.495061946661288,0.5232410612058139,0.555765135403484,0.530303913318192,0.540807447335247,0.558982325875004,0.620817347047533,0.5377699506028021,0.553854417749715,,
116055,Cambodia,KHM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14685088240056,1.5742453461372,1.2782035615864,1.99245358205796,2.07137559385002,2.32789658450414,3.14593301435407,1.76128949875169,3.84234290025109,3.57731057861843,3.2384545833912903,3.00336116231161,2.66204789979779,2.51002908172038,2.20981320983564,1.7748105315819498,1.51961740559543,1.44751885086975,1.2967422115082299,1.12757907136677,1.0431000794089,0.914612028315591,0.7982175078335859,1.31312896715261,1.4930964121748,1.4977884986565801,1.54704158518933,1.59657370107149,1.66303946625633,1.79498227906878,1.8985829769412699,2.08462756251302,2.20647137386887,,
117496,Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.87212787212787,1.84267040149393,1.7628547344759802,1.7606741573033702,1.6919407226959,1.72759393312651,1.76232501521607,1.71585010760856,1.66511723995455,1.65536374845869,1.5558177259991202,1.8189156089957699,1.9905191458026499,1.89068408387762,1.74021909233177,1.33983572895277,1.21782345828295,1.25002549719531,1.28479615502836,1.33368915456874,1.4745666126806998,1.51455169920463,1.5326056138361202,1.32612455061139,1.3103400918897299,1.2516448385188101,1.22483788338251,1.3012417461068702,1.3965094378673701,1.44385239060644,1.3247488647241399,1.29036003475657,1.33850675603337,1.3838069976001,1.4016038318718,1.34486147938191,1.4311051930758998,1.45214497185689,1.48607373789824,1.46811752115745,1.49880101499644,1.30692587898643,1.33895075823915,1.32867118504826,1.2528314446870201,1.2451034369231202,1.32146867602779,1.3061757689993798,1.25032908627177,,
118937,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.18525654025553,4.1283122434605195,3.9992163886712198,3.6206501115489704,3.40206283659061,2.93026065941654,2.68328242154957,2.7479267697781897,2.54364188044292,2.2737846704443796,2.18897969593808,2.1314856393948896,2.0118184382193203,1.83260181767425,1.7838130850829,1.86354185265607,1.76592797783934,1.80576360007784,1.8488874006133702,1.71124591794032,1.76444861477782,1.7099156381511997,1.954343585383,2.08119624877852,2.11718885542571,2.09737623375073,2.10919711788911,2.06257637101059,1.98676711890836,1.9346143086503798,1.95879374221417,1.8954443385806399,1.86168769986295,1.82175350392748,1.69668025731865,1.55409007114777,1.40375258106455,1.24624320151167,1.25629390156868,1.2417030641025801,1.11808087955152,1.13736897251656,1.1208522916435502,1.11587879854277,1.10796602708278,1.1106696550809199,1.12583240797021,1.18890178274099,1.24862138163726,1.38104398145933,1.1971536522414,1.19608445800688,1.1210999732281202,1.00485841865034,0.992270560043976,1.15012649687129,1.15845887951202,1.2933951067783702,1.2526292323636101,,
120378,Cayman Islands,CYM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121819,Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56806934196677,1.64212531741423,1.49708784517113,1.25588265167931,1.16678191990947,1.21019207119553,,,,,,1.10913118458604,1.3530998602711202,1.20169301509674,1.15123644974898,,1.12587850789793,1.5871819674712602,1.81620673109291,2.59742504280073,2.27155876639996,1.97012893452524,3.1558239633056004,2.2553896397512796,1.68608901432654,1.5283326321683501,1.4355130553548998,1.40860967195269,,
123260,Chad,TCD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,4.72887767969735,4.35756972111554,3.6630036630036606,4.57003785830178,2.94538175579068,5.2536231884058,3.93528640139921,1.97507393324884,,1.87713310580205,2.67921795800145,1.87757594260418,1.38561729250381,1.5446363415227402,1.07586512866016,0.922957349655105,1.36522383320986,1.36204531679744,1.35402139139911,1.52447440322679,1.32252242472105,1.01162496678722,0.831977970064711,2.9956268787193,4.4859488256532805,5.88515263113279,7.95566213038321,5.76493311502614,5.01009653069354,,5.59231324408224,2.80651395535442,2.0188218544744,3.06847511920839,2.23858942668309,2.1295595384847,,
124701,Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126142,Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.11840562719812,3.5274472970152404,3.0437090780392904,2.86539572501444,2.63518659558264,2.8857127330036403,2.7359208523592105,2.7136326339233396,2.52706817797327,2.26089998688066,4.450450633528759,6.264815441923469,6.625414195001089,6.28382090072808,7.109561163967791,6.74253666077988,6.0850508253287305,6.915244813566389,6.7281223205458,6.33255633255633,6.482092869697841,7.02211888902853,8.87726773839499,7.5752226024099505,7.6054061762236,6.900608611054549,6.2880021993384405,5.638071074933491,4.13999607967718,3.59002950895468,3.40165485912065,2.8498427672956,2.62851046938573,2.7069229372552095,2.5975449826478902,2.5620646291664904,2.44932089847955,2.4982019239413797,2.58983722621321,2.7136315935113,2.7032820463964202,2.66749517320965,2.5520930910302,2.73384321223709,2.7079751355640798,2.52150287673621,2.49083177991398,2.3188022022883503,2.5858318761462002,2.26703956909053,2.2422354113728,2.25604304567862,2.04694163472049,1.9864194739788001,1.95820763854893,1.8978617106815099,1.9184833006758202,1.9356127328857198,1.88738394618685,,
127583,China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4801866410957003,2.49325830326962,2.34690960872377,2.48475857240288,1.9619072718954098,1.72496768849044,1.7163366422182,1.68605113779847,1.6748020872592602,1.7033003738699901,1.92205312057776,1.88735378338211,2.0739426080012398,2.17514171475857,2.1020316167466997,2.0522734680588304,1.98886432028757,1.99465265061962,1.90431095555058,1.87568853278407,2.0626875496590804,1.9074366626988,1.83415827484875,1.83645175975595,1.8669437861429798,1.9058481051586798,1.9070864861799601,1.92494712446006,1.8965104068693999,1.8659366006581202,,
129024,Colombia,COL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.88432347552997,2.1432563032116003,3.0994152046783596,3.5151403758673,3.1808035714285694,3.19094692172311,3.16524479704396,3.1173645631477003,2.38537248109852,2.0549241570755203,2.25954658431875,3.37417409711976,1.96719582300512,1.6902451061029802,1.57578013524412,1.7402680753375601,1.49360287072351,1.4384872142228702,1.5503194097791102,1.6739287697044098,1.83012164926257,1.7551203619179199,1.7138509590357598,2.21993752742179,2.32589496393177,2.05401660934215,1.94461959115846,1.98313541641877,2.19924475548319,2.1881838074398203,1.86015929954807,1.8534817831972399,2.1066779425533797,2.5252670182909704,2.50840701347047,2.83162658057701,4.445393253964309,2.8017878857593597,3.4409857420470797,3.76274205786296,3.03168353865852,3.3238728188053197,3.4171276235819703,3.46398869081496,3.46501517406307,3.35287338750456,3.2761306388676203,3.2667396629797296,3.70974427551673,3.86329454054022,3.6311485638364203,3.07278341135743,3.1667770685294503,3.28882458335503,3.1322277479476694,3.1308925676081403,3.07507195641464,3.1862726276321296,3.1725602157456203,,
130465,Comoros,COM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131906,"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,3.9142857142857104e-05,,4.31e-05,,4.215e-05,4.1724137931034496e-05,5.51612903225806e-05,4.85714285714286e-05,4.0256410256410294e-05,3.4897959183673496e-05,5.26666666666667e-05,4.53125e-05,3.35789473684211e-05,3.49242424242424e-05,3.27322404371585e-05,2.97297297297297e-05,,,,,,,,,,,,,,5.226085685300781,,,1.5468010910471999,1.41085112381148,0.428454161411096,1.15815066378512,0.22026077257230603,,,0.8806457107143649,1.3366043848226798,1.3807954582531201,1.43463385466569,1.25407552761628,0.833060939844511,0.6700955601547379,0.889890708607876,0.971597464132033,1.20667154643707,1.1461779767659,0.950246294980751,1.2781514071021298,0.9486905132077041,0.737512018090645,0.668776974818973,,
133347,"Congo, Rep.",COG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,4.860402684563759,4.60024301336574,3.5296703296703305,4.22027290448343,4.240875912408759,4.49749373433584,4.7318339100346,4.95321959273528,4.3197175995965695,4.39371316306483,3.36598224195339,3.1870961786967005,3.3450456781447597,,2.25310380803339,2.5751957148743303,,4.37416739067478,,,,,4.28755641521599,4.0778742436201,,,,,,,,1.94849387296783,2.3412038576654504,2.68249827738951,2.67387409398159,1.6578939172143101,1.63711472814525,2.26049500505107,2.04130000658342,,1.77827615466212,,,2.6177952203743904,5.007370686669099,,6.38322968046322,4.26829683068509,2.5469546401220695,,
134788,Costa Rica,CRI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
136229,Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.27553444180523,0.9989888776541959,1.14392991239049,1.31969949916528,1.26356589147287,1.3126586869786,1.16049004594181,1.1487964989059098,1.18100747167992,1.50034098658786,1.69563374311149,1.13034263511127,1.33964817320704,1.17843019772319,1.1188861121028202,0.7947686116700201,1.0980931015143,1.12377230421145,1.16428671100981,1.0910360478310202,1.1421677056103,1.11504662496642,1.0255904194821701,0.9969695036365959,1.05352867044739,1.2170987532159099,1.2491406122114899,1.3303746583051899,1.3334353845630502,1.37485633155297,1.40745387954422,1.42855203312742,1.09673402255639,,0.8449185987955942,0.7968515982868299,,,,,,1.39160509170093,1.51507182012153,1.46253421225943,1.5019486655862901,1.5907644992645702,1.52285574168237,1.7302394556636298,1.55796604921668,1.39202804464443,1.5214170716108601,1.3753872503125302,1.4759690494297502,1.7401187233776,1.69010408368206,1.27740094327866,1.35765671954873,,
137670,Croatia,HRV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6073864434082905,10.726757154504499,11.1481772894242,9.31501043048842,8.29201114721082,8.94249252887489,6.60021947195919,4.4296297097959405,3.03005577712821,2.7027737725454197,2.73063333651169,2.04629888221727,1.7601437494594399,1.76232843721919,1.68580508013674,1.6284306152931898,1.8391379517934099,1.80045046868212,1.69692127126138,1.7731844262190801,1.6893828307869199,1.6454335658238601,1.57174690459255,1.5217295504344197,1.3602220901836801,1.42558734937722,1.4650541787066103,,
139111,Cuba,CUB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3809600515463902,3.32685611242383,3.08450500072474,3.9375999781244397,3.51272878104423,3.53600476096013,3.0837914452618396,3.07212432964868,2.8724032394613905,,,
140552,Curacao,CUW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141993,Cyprus,CYP,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.2702916956171002,1.5771578985851598,5.391477697548719,5.70025602914459,5.36935509753425,7.3740356129737,7.26477612246644,9.12928604418491,4.07495260499477,4.02398919595774,3.0410342149260803,4.52471482889734,5.573910769888999,4.67631794591642,2.7338509695516096,2.8220901513395398,3.15322215947894,2.1301607353618004,1.9851631243571601,1.9557691617927,2.0374696057772903,1.8999976250029702,1.68459956211832,1.62999656690523,1.8170104956052802,1.8684409290534898,1.74902659397217,1.65523200313601,1.5981377348758399,1.5314613982743999,1.66606371456811,1.44433298597808,1.62751716003059,1.57216193491902,,
143434,Czech Republic,CZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3304040663427,2.2834008576375697,1.84362277299769,1.73190468756652,1.66204579070562,1.8259318203535801,1.8590699232123202,1.8773569561648702,1.75124955758828,1.82440696826275,1.8927640441762,1.71370317302129,1.7900837720613403,1.5759061579971299,1.4309147351499998,1.23821201023728,1.3185370784567199,1.20394027554572,1.08546999012087,1.07081138704484,1.02615145256566,0.9733902144958879,0.9526777047567301,1.00216233674987,0.969085790261929,1.12360570947245,,
144875,Denmark,DNK,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.72887755602413,2.58681164503683,3.0182731040924704,3.0415238937401003,2.84291447082145,2.83213773314204,2.6367496989288197,2.5882109236541098,2.6759341499184104,2.39160763140253,2.42911996594156,2.36222218936224,2.17997334586636,1.9758075832842201,2.23484393156229,2.39724954226188,2.204203184792,2.21630312859212,2.27182119452819,2.2515273723598104,2.36309252270559,2.43866639204741,2.41989502520681,2.3647428760569302,2.2354707255297797,2.1046721071010603,1.9448192366879902,2.0316474834314,2.0874706324153998,2.02422013695156,1.95075703504915,1.95468015000635,1.88937728533689,1.9071976696873998,1.77010988336089,1.6853146650741002,1.64481665845606,1.61596120506505,1.60802638812534,1.5648547225540301,1.45744405054744,1.53238072045298,1.5081498520497099,1.46685124979903,1.42370423392813,1.3114886404907,1.37749218313459,1.3072470519223998,1.3550045240831101,1.35017823723117,1.39862147873519,1.31353101003111,1.3518191537528703,1.22725202197052,1.14927328112499,1.11144613220871,1.15178629245754,1.1460161693832198,1.1814152074453301,,
146316,Djibouti,DJI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,0.0209424083769634,0.0175054704595186,0.5355396017442341,1.4153260012203703,7.4850640113798,7.659693165969321,,,,,,,,6.65088450757308,6.76002805366394,6.15873724134084,5.75744469878374,5.791646029387491,5.08047879345913,5.47498607759421,5.6508745401074005,5.47808971304258,5.06910119132427,,,,5.60717905405405,6.32869062643662,6.441955820741299,4.07194358827078,3.6880710661508296,,,,,,,,,,,,
147757,Dominica,DMA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149198,Dominican Republic,DOM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.23152574784865,5.229793977813,4.31965442764579,3.86521308225966,3.78349505920057,4.2120704107292495,3.4627199106394904,3.19186875891583,3.24517139377066,2.6478244700632203,2.41669471558398,2.1962196219621997,1.9875213847237598,1.79127393696422,1.96506550218341,1.83101330888278,1.9283816272301697,1.8857230058206698,2.1755660696181103,2.18229431876046,1.58354321564842,1.7201282527625301,1.5820400783486501,1.36650543348589,1.1988959806796597,1.21005235068591,1.34415405467726,1.0181399417950698,0.880047487861676,0.8003679852805892,0.6757293875665699,0.348155032228406,0.559086816093422,0.755070036358464,0.733765624039859,0.5494778676025089,0.633651609977827,0.796926406823975,0.780062374149808,0.8162438875527901,1.03009647155323,1.2134960521134501,1.05891921128922,0.7641450271208221,0.687618052138186,0.766536371799736,0.683423360678412,0.6276190571538101,0.699861657175699,0.667461170274579,0.667531704853403,0.602928060143009,0.6531514619766321,0.6118247730453511,0.662335562008556,0.665687801883187,0.663297900848746,0.7009982984203671,0.7438561253355931,,
150639,Ecuador,ECU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.37623678350892,2.04676698378785,2.0454537833629702,1.76521231065259,1.90995401275775,2.0695652173913,1.8242215194411,1.8044233334046498,1.9239734977575502,2.37061630052488,1.83368971819713,1.85402516979624,1.99002320804546,1.9765704092947,2.01588995612475,2.3668089845925397,2.20068766787297,3.08037216906285,2.1427264888029502,1.9874937490116,1.7812246985128102,1.67784031835944,1.6540028313061599,1.5747783499472499,1.48523232727441,1.7797385538997599,1.83738682762294,1.96631614944003,1.9776268477826597,1.9239891930850401,1.89032378813401,1.7783601647323102,1.6672065992936103,1.82142150069293,1.55934346817278,2.34132011021456,1.95039752732418,2.10417123484069,2.3572348647488197,1.7519250460176299,1.45207595274333,1.56937598177954,1.76889198532555,2.2785533646602003,1.9403327987761998,2.29840279075247,2.02982587683564,2.56823582019659,2.6650417359945897,3.1174180881202798,3.01055129218138,3.0951100565987497,2.9454528646745097,2.8758906830518502,2.7392308093761897,2.6160741592884,2.51476680030726,2.36126338358467,2.3767115146098,,
152080,"Egypt, Arab Rep.",EGY,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,6.67547918043622,8.6646884272997,10.3283898305085,10.1174345076784,8.71826883062838,8.90769850866586,11.1330438215555,14.336053412462899,15.9878828677213,17.1870121760849,13.5645302897278,13.5135135135135,17.274243507267098,15.431846090871902,13.7268961121734,13.1120584652862,9.94071348257181,6.4689378757515,6.160310277957339,7.41690962099125,7.1889606053861606,7.958673932788369,8.26523207017322,7.85693305919735,7.49813056581541,6.52874277064007,5.06087662337662,3.9680989583333304,3.4676995357892997,3.6117447042004103,3.21550063172359,3.0977369924992297,3.15393465100637,3.08203623414837,2.9748118697964503,2.8414852184644706,2.65938329094369,2.5697674781427597,2.55126513982739,2.98556856033807,3.27845479650374,3.17728527009726,2.8775312365359698,2.71422040657605,2.60621860261331,2.3796346750970896,2.1807854853701603,2.03264504307225,1.95296704226796,1.83702555925574,1.6481757926792902,1.61005697699419,1.68969483568075,1.7231474282908503,1.66728205885611,1.42260927104117,1.2470692398394099,,
153521,El Salvador,SLV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,0.738683896695399,0.7090798356840821,0.694253982686142,0.655571183199067,0.7154615013243499,0.6298340583831931,0.7180204051776579,0.8815728246481909,0.864970611800008,0.801397476690848,0.830737938354675,0.881847195617408,0.971842225565606,1.11852601258792,1.5776536243051398,1.7363364875446001,2.27954641554224,2.7763365312517,3.55144989362715,6.44328243706815,6.58971611464278,4.32995671803931,4.46916395124473,4.27132388506901,4.87234584982692,3.41366598744942,2.73257745456787,2.25357678228633,1.67872879014223,1.35222117942445,1.17505832785871,1.07440915279515,1.0077662062942199,0.922942907935975,0.9205492395935378,0.840331038102095,1.09067003863398,1.1302387299052399,0.841381284888912,0.810214431044768,0.9042046536943801,0.888131105901353,0.973444824900437,0.961811630582052,1.07887796691441,1.08955372746629,1.08806149544119,1.0488096267911702,1.08065558255299,1.0356046089054,1.06923801790812,1.03545340606041,1.05178541481223,1.03057541489324,,
154962,Equatorial Guinea,GNQ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98642304021115,2.0456168533629002,,,,,,,,,,,,1.50182582447025,1.48230906749545,2.47492960390331,,,,,0.7759776885821559,,0.17916867981852397,,,,
156403,Eritrea,ERI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3291139240506,12.7159420289855,19.5391124143288,20.344819064949103,11.8604149677876,32.4970666110039,34.3777684538841,32.6556711938037,22.1367915582472,20.671878356325198,20.8657453093811,,,,,,,,,,,,,,,,,
157844,Estonia,EST,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7617519609456421,1.04163027365878,0.958098327008493,0.8735960738378309,1.0467724867254,1.0674917182744799,1.2871133644756598,1.37632711527768,1.50221446192756,1.66712950092163,1.74304929525979,1.6996892247017,1.8992575545610801,1.85701426495349,1.99798142324145,2.0929608067328,2.20912625472539,1.7035262197725098,1.6799025186166499,1.89574598114537,1.90679645481853,1.92411339633695,2.02401618190285,2.07539238244659,2.02836226346766,2.05854468149193,,
159285,Eswatini,SWZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.7823193916349798,2.43309620596206,2.4584169773444198,2.42353888796759,2.1661010181673,2.1995610023778998,2.25586611456177,2.03080175147214,1.8411214953271002,1.63451232583065,1.4292920800403601,1.26009025614949,1.25287230550388,1.2759745775934699,1.3845165938385902,1.6327115429226398,1.7480467649015201,1.818089820086,1.69333926177873,1.65257773101622,1.4948391704748702,1.6472089506265801,1.68450591336061,1.4352057909750802,1.29003645312602,1.3037865159184598,1.4709540787189699,1.54586139623613,1.91418727576891,1.8402664589967,1.84024690920349,2.0569666451032598,2.12321348009507,2.25416476247944,2.14979822864643,1.86176750755277,1.8659882624654902,1.81089313726904,1.68706047674019,1.7255862308188301,1.79656325184064,1.50006194948238,,
160726,Ethiopia,ETH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,1.85587761674718,1.9321903294163,2.42836676217765,2.9215844785772003,3.2299352507152497,3.10719908401317,2.4862249697621297,2.1956163689345,2.02066455324645,1.88310980263875,1.9060715041252398,1.9364102564102599,1.9255540822125399,2.7945823927765203,4.49206211503427,4.13172252533126,3.96778085302675,4.810902451747519,6.88658800866843,8.70858213323967,7.53695803155075,7.539018427980441,7.179617834394901,7.96914816163087,6.823904198971371,6.6972375690607695,6.855673684941981,8.5014361098123,10.276648456358801,9.657969808629499,5.70513154467309,3.44170834936514,3.0716883506430204,2.8684387023897795,2.22561605430131,2.1171384891138203,3.3431774775411998,7.27693614895529,9.50694268259021,7.6138439057772604,4.34902077753107,3.71938809903571,3.23884273442423,3.07265040654432,2.7615514355536197,2.26653738405811,1.86327401952308,1.48980921711378,1.18480259623383,1.13358648537969,1.0907074439920998,0.868362090380475,0.806417117446453,0.7684111005100259,0.705413868072999,0.701484928807032,0.6766622111845191,0.6419202927722609,,
162167,Faroe Islands,FRO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163608,Fiji,FJI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,0.187695516162669,0.21708352996696598,0.24885145482389004,0.21874076263671302,0.24222222222222198,0.30049786628734004,0.396150761828388,0.507575757575758,0.873095000712149,0.9388569416735129,0.8620514384466809,0.9194205094214558,1.25112268726424,1.34477324461565,1.3243942601740801,1.22749715153817,1.1308750085516899,2.13349713349713,2.2228521038044797,2.45912853136329,2.2842972869235,2.34718562991548,1.9928794720389,1.95836686474979,1.84391273119052,1.77833881290054,1.54284989476157,1.4786073305183602,1.36402894657776,1.2260479507615,1.9024792484704798,1.97650995967867,1.67751009856116,1.6102762500652,1.71575938748871,1.43380539425518,1.74254104931503,2.21952588227978,1.4693317602226998,1.7259428612965801,1.55065095846793,1.6104039180093899,1.49096169403815,1.3867774478535602,1.02769899792021,0.9723943477263041,0.913179007614084,0.917588307790657,0.9228394615965079,,
165049,Finland,FIN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.7690410476246399,1.8361815196588,2.51317830864007,1.9271417869505802,1.85927303165209,1.79734038277768,1.7139513137863702,1.61552115269617,1.7550744002529999,1.43747769806296,1.37585401679306,1.44904687492755,1.53084554364898,1.45370204008298,1.2701786674788897,1.5081598199212198,1.34012461675403,1.40535201149425,1.42944410507025,1.4790093096785502,1.67093547993658,1.54558673057246,1.6437501499772,1.8232638142335,1.60404180113724,1.67657907276353,1.72390995338997,1.64553300960529,1.60769117311844,1.5343144923525,1.5633514986376003,1.78123103649322,1.90713101160862,1.86801150656572,1.75560359540335,1.42254149924916,1.5304722712130099,1.5351550506601201,1.46317555780765,1.22310377157804,1.2411475036877802,1.14451283258445,1.15463722865486,1.44685726264926,1.47016356457354,1.46719042878277,1.4447666748334802,1.2908879440068701,1.3949173943322501,1.56693259623516,1.5000740535632602,1.4979504137268898,1.5360898529978502,1.54127610185996,1.46198545801415,1.46228125417454,1.42889533619297,1.36568934476396,1.3985204245738199,,
